Authors,Author full names,Author(s) ID,Title,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Themes,Devices,Systems,Year,Author Keywords,Index Keywords,Funding Details,Publisher,Document Type,Publication Stage,Open Access,Source,EID
Wang H.; Lai Y.; Chen W.; Cao Q.,"Wang, Hesheng (56183152100); Lai, Yinping (56663567700); Chen, Weidong (55716020300); Cao, Qixin (56890347800)",56183152100; 56663567700; 55716020300; 56890347800,Design and implementation of motion planning of inspection and maintenance robot for ITER-like vessel,Fusion Engineering and Design,101,,,111,123,12,4,10.1016/j.fusengdes.2015.10.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951822528&doi=10.1016%2fj.fusengdes.2015.10.001&partnerID=40&md5=b180389c0ef8c07157ad2948c29dc78c,"Department of Automation, Shanghai Jiao Tong University, Shanghai, 200240, China; Key Laboratory of System Control and Information Processing, Ministry of Education of China, China; Institute of Robotics, Shanghai Jiao Tong University, Shanghai, 200240, China","Wang H., Department of Automation, Shanghai Jiao Tong University, Shanghai, 200240, China, Key Laboratory of System Control and Information Processing, Ministry of Education of China, China; Lai Y., Department of Automation, Shanghai Jiao Tong University, Shanghai, 200240, China, Key Laboratory of System Control and Information Processing, Ministry of Education of China, China; Chen W., Department of Automation, Shanghai Jiao Tong University, Shanghai, 200240, China, Key Laboratory of System Control and Information Processing, Ministry of Education of China, China; Cao Q., Institute of Robotics, Shanghai Jiao Tong University, Shanghai, 200240, China","Robot motion planning is a fundamental problem to ensure the robot executing the task without clashes, fast and accurately in a special environment. In this paper, a motion planning of a 12 DOFs remote handling robot used for inspecting the working state of the ITER-like vessel and maintaining key device components is proposed and implemented. Firstly, the forward and inverse kinematics are given by analytic method. The work space and posture space of this manipulator are both considered. Then the motion planning is divided into three stages: coming out of the cassette mover, moving along the in-vessel center line, and inspecting the D-shape section. Lastly, the result of experiments verified the performance of the motion design method. In addition, the task of unscrewing/screwing the screw demonstrated the feasibility of system in function. © 2015 Elsevier B.V.",SOFT,ITER,IN-VESSEL,2015,Inspection; ITER-like vessel; Maintenance; Motion planning; Remote handling,Inspection; Inverse kinematics; Inverse problems; Machine design; Maintenance; Materials handling; Motion planning; Remote control; Robots; Analytic method; Design and implementations; Forward and inverse kinematics; Inspection and maintenance; ITER-like vessel; Remote handling; Robot motion planning; Working state; Robot programming,"ITER, (2011GB113005, 2012GB102001); International Thermonuclear Experimental Reactor",Elsevier Ltd,Article,Final,,Scopus,2-s2.0-84951822528
Väyrynen J.; Aha L.; Mattila J.; Esqué S.; Sharratt R.,"Väyrynen, J. (25951626900); Aha, L. (25930795400); Mattila, J. (7004402283); Esqué, S. (55890470100); Sharratt, R. (57202449991)",25951626900; 25930795400; 7004402283; 55890470100; 57202449991,Heat management for water-hydraulic systems at ITER remote handling,Fusion Engineering and Design,146,,,2314,2318,4,2,10.1016/j.fusengdes.2019.03.179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063623206&doi=10.1016%2fj.fusengdes.2019.03.179&partnerID=40&md5=026514a666be255bac2726a55a621ec7,"Tampere University, Tampere, Finland; F4E, Fusion for Energy, Barcelona, Spain; Assystem E&I, Sunderland, United Kingdom","Väyrynen J., Tampere University, Tampere, Finland; Aha L., Tampere University, Tampere, Finland; Mattila J., Tampere University, Tampere, Finland; Esqué S., F4E, Fusion for Energy, Barcelona, Spain; Sharratt R., Assystem E&I, Sunderland, United Kingdom","The full exchange of the ITER Divertor is performed with the Divertor Remote Handling System during ITER maintenance campaigns. Equipment with high power density are required to transport the 10-tonne cassettes into and out of the vessel. Water hydraulics has proven to deliver the required power and tracking accuracy. The ambient temperature within the Divertor area (in-vessel) is between 15 °C to 55 °C, which is at the upper limit of allowed temperature range for water hydraulic components. As the Cassette Toroidal Mover (CTM) Hydraulic Power Unit (HPU) must be situated within the CTM chassis and power for the Cassette Multifunctional Mover (CMM) hydraulics is supplied from the transfer cask, they are under increased thermal load from the radioactive components. To address this, a project to investigate solutions for heat management of CTM and CMM hydraulics was undertaken. Multiple heat management methods were analysed and the best solutions for these cases were selected after trade-off analyses. As a result, a traditional liquid/air heat management solution was selected for the CMM and no dedicated cooling was selected for the CTM. Whether the solutions proposed herein are applicable to other ITER systems is discussed. © 2019 Elsevier B.V.",HARD,ITER,DIVERTOR,2019,Heat management; Remote handling; Water hydraulics,Economic and social effects; Hydraulic equipment; Hydraulics; Materials handling; Remote control; Cassette toroidal mover; Heat management; High power density; Remote handling; Remote handling system; Trade-off analysis; Water hydraulic systems; Water hydraulics; Hydraulic machinery,,Elsevier Ltd,Article,Final,,Scopus,2-s2.0-85063623206
Ronden D.M.S.; Dammann A.; Elzendoorn B.; Giacomin T.; Heemskerk C.; Loesser D.; Maquet P.; Van Oosterhout J.; Pak S.; Pitcher C.S.; Portales M.; Proust M.; Udintsev V.S.; Walsh M.J.,"Ronden, D.M.S. (10041416100); Dammann, A. (57044463700); Elzendoorn, B. (6602474100); Giacomin, T. (55447246500); Heemskerk, C. (6602291205); Loesser, D. (6603322439); Maquet, P. (54408862300); Van Oosterhout, J. (55510236700); Pak, S. (24559575700); Pitcher, C.S. (7006475675); Portales, M. (55446936500); Proust, M. (56346223700); Udintsev, V.S. (6602796822); Walsh, M.J. (7402337643)",10041416100; 57044463700; 6602474100; 55447246500; 6602291205; 6603322439; 54408862300; 55510236700; 24559575700; 7006475675; 55446936500; 56346223700; 6602796822; 7402337643,The remote handling compatibility analysis of the ITER generic upper port plug structure,Fusion Engineering and Design,89,7-8,,1009,1013,4,3,10.1016/j.fusengdes.2014.03.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905909116&doi=10.1016%2fj.fusengdes.2014.03.012&partnerID=40&md5=defc5361de5e49c8aa0d783c944dd5dc,"FOM Institute DIFFER, 3430 BE Nieuwegein, P.O. Box 1207, Netherlands; ITER Organization, 13115 Saint Paul-lez-Durance, Route de Vinon sur Verdon, France; Heemskerk Innovative Technology, 2172 HZ Sassenheim, Merelhof 2, Netherlands; Princeton Plasma Physics Laboratory, Princeton, NJ 08543-0451, United States","Ronden D.M.S., FOM Institute DIFFER, 3430 BE Nieuwegein, P.O. Box 1207, Netherlands; Dammann A., ITER Organization, 13115 Saint Paul-lez-Durance, Route de Vinon sur Verdon, France; Elzendoorn B., FOM Institute DIFFER, 3430 BE Nieuwegein, P.O. Box 1207, Netherlands; Giacomin T., ITER Organization, 13115 Saint Paul-lez-Durance, Route de Vinon sur Verdon, France; Heemskerk C., Heemskerk Innovative Technology, 2172 HZ Sassenheim, Merelhof 2, Netherlands; Loesser D., Princeton Plasma Physics Laboratory, Princeton, NJ 08543-0451, United States; Maquet P., ITER Organization, 13115 Saint Paul-lez-Durance, Route de Vinon sur Verdon, France; Van Oosterhout J., FOM Institute DIFFER, 3430 BE Nieuwegein, P.O. Box 1207, Netherlands; Pak S., ITER Organization, 13115 Saint Paul-lez-Durance, Route de Vinon sur Verdon, France; Pitcher C.S., ITER Organization, 13115 Saint Paul-lez-Durance, Route de Vinon sur Verdon, France; Portales M., ITER Organization, 13115 Saint Paul-lez-Durance, Route de Vinon sur Verdon, France; Proust M., ITER Organization, 13115 Saint Paul-lez-Durance, Route de Vinon sur Verdon, France; Udintsev V.S., ITER Organization, 13115 Saint Paul-lez-Durance, Route de Vinon sur Verdon, France; Walsh M.J., ITER Organization, 13115 Saint Paul-lez-Durance, Route de Vinon sur Verdon, France","The ITER diagnostics generic upper port plug (GUPP) is developed as a standardized design for all diagnostic upper port plugs, in which a variety of payloads can be mounted. Here, the remote handling compatibility analysis (RHCA) of the GUPP design is presented that was performed for the GUPP final design review. The analysis focuses mainly on the insertion and extraction procedure of the diagnostic shield module (DSM), a removable cassette that contains the diagnostic in-vessel components. It is foreseen that the DSM is a replaceable component - the procedure of which is to be performed inside the ITER hot cell facility (HCF), where the GUPP can be oriented in a vertical position. The DSM removal procedure in the HCF consists of removing locking pins, an M30 sized shoulder bolt and two electrical straps through the use of a dexterous manipulator, after which the DSM is lifted out of the GUPP by an overhead crane. For optimum access to its internals, the DSM is mounted in a handling device. The insertion of a new or refurbished DSM follows the reverse procedure. The RHCA shows that the GUPP design requires a moderate amount of changes to become fully compatible with RH maintenance requirements. © 2014 Elsevier B.V.",SYS,ITER,IN-VESSEL,2014,Diagnostics; ITER; Port plug; Remote handling,Materials handling; Plasma diagnostics; Remote control; Compatibility analysis; Dexterous manipulators; Extraction procedure; In-vessel components; ITER; Maintenance requirement; Port plugs; Remote handling; Design,,Elsevier Ltd,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84905909116
Grazioso S.; Gironimo G.D.,"Grazioso, Stanislao (57188641255); Gironimo, Giuseppe Di (57580584400)",57188641255; 57580584400,On the use of robust command shaping for vibration reduction during remote handling of large components in tokamak devices,"International Conference on Nuclear Engineering, Proceedings, ICONE",1,,,,,,2,10.1115/ICONE26-82346,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056208415&doi=10.1115%2fICONE26-82346&partnerID=40&md5=e191a7b683a4aef7022c5f6cceab8528,"Department of Industrial Engineering, University of Naples Federico II, Napoli, 80125, Italy","Grazioso S., Department of Industrial Engineering, University of Naples Federico II, Napoli, 80125, Italy; Gironimo G.D., Department of Industrial Engineering, University of Naples Federico II, Napoli, 80125, Italy","This paper proposes to use robust command shaping methods for reducing the vibrations during remote handling of in-vessel components. The need of deriving efficient vibration control strategies for a safe transportation of large and heavy payloads during maintenance procedures in nuclear fusion reactors is the main motivation behind this work. The approach shapes the reference motion command to the component such that the vibratory modes of the system are canceled. We perform the dynamic simulations of a large in-vessel component of the DEMOnstrating fusion power reactor during a remote handling operation. The simulations shows that the method is a possible solution to reduce the vibrations induced by the motion, in both the transient and residual phases. The benefits introduced by command shaping make the method promising towards building control framework for remote handling of in-vessel components in various tokamak devices. Copyright © 2018 ASME",SOFT,DEMO,IN-VESSEL,2018,,Life cycle; Materials handling; Nuclear energy; Nuclear fuels; Nuclear power plants; Plant life extension; Remote control; Small nuclear reactors; Building controls; Control strategies; Fusion power reactors; In-vessel components; Large components; Maintenance procedures; Nuclear fusion reactors; Vibration reductions; Tokamak devices,"European Commission’s Euratom Research and Training Programme 2014-2018; H2020 Euratom, EURATOM, (EEG-2015/21)",American Society of Mechanical Engineers (ASME),Conference paper,Final,,Scopus,2-s2.0-85056208415
Väyrynen J.; Mattila J.; Vilenius M.; Ali M.; Valkama P.; Siuko M.; Semeraro L.,"Väyrynen, J. (25951626900); Mattila, J. (7004402283); Vilenius, M. (7003440256); Ali, M. (59277288400); Valkama, P. (53980640200); Siuko, M. (6602625203); Semeraro, L. (25928795300)",25951626900; 7004402283; 7003440256; 59277288400; 53980640200; 6602625203; 25928795300,Predicting the runtime reliability of ITER Remote Handling maintenance equipment,Fusion Engineering and Design,86,9-11,,2012,2015,3,4,10.1016/j.fusengdes.2011.03.086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054019926&doi=10.1016%2fj.fusengdes.2011.03.086&partnerID=40&md5=d6ea2f2161baac1fe532da42e9d142e2,"Department of Intelligent Hydraulics and Automation, Tampere University of Technology, 33101 Tampere, Korkeakoulunkatu 6, Finland; VTT Technical Research Centre of Finland, Tampere, Finland; F4E, Fusion for Energy, Barcelona, Spain","Väyrynen J., Department of Intelligent Hydraulics and Automation, Tampere University of Technology, 33101 Tampere, Korkeakoulunkatu 6, Finland; Mattila J., Department of Intelligent Hydraulics and Automation, Tampere University of Technology, 33101 Tampere, Korkeakoulunkatu 6, Finland; Vilenius M., Department of Intelligent Hydraulics and Automation, Tampere University of Technology, 33101 Tampere, Korkeakoulunkatu 6, Finland; Ali M., Department of Intelligent Hydraulics and Automation, Tampere University of Technology, 33101 Tampere, Korkeakoulunkatu 6, Finland; Valkama P., Department of Intelligent Hydraulics and Automation, Tampere University of Technology, 33101 Tampere, Korkeakoulunkatu 6, Finland; Siuko M., VTT Technical Research Centre of Finland, Tampere, Finland; Semeraro L., F4E, Fusion for Energy, Barcelona, Spain","High system reliability is of utmost importance during the ITER Remote Handling (RH) maintenance operations, as the operational environment is heavily irradiated and populated by fragile and very expensive reactor components and diagnostics equipment. The radiation prevents using live personnel for recovery purposes in the case of equipment malfunction and the fragile environment prevents using brute force to recover malfunctioning equipment. Due to these facts, the concept of Reliability-Centered Maintenance (RCM) for the RH maintenance equipment is exceptionally valid. To improve the RCM concept, probabilistic methods based on the stochastic simulation and reliability mathematics are studied to add a degree of failure prediction. This paper describes the project to improve the reliability of remotely operated Water Hydraulic Manipulator (WHMAN) utilising probabilistic methods. This work was done on an FMECA (Failure Methods, Effects and Criticality Analysis) performed on the WHMAN prior to starting this project. Furthermore, additional considerations regarding maintenance regime derived from the results of this project are presented. © 2011 Published by Elsevier B.V.",HARD,ITER,IN-VESSEL,2011,ITER; Probabilistic approach; Reliability-Centered Maintenance; Remote Handling,Climate models; Equipment; Hydraulic machinery; Maintenance; Materials handling; Remote control; Stochastic models; Brute force; Criticality analysis; Failure prediction; ITER; Maintenance operations; Operational environments; Probabilistic approaches; Probabilistic methods; Reliability mathematics; Reliability-Centered Maintenance; Remote Handling; Runtimes; Stochastic simulations; System reliability; Water hydraulics; Reliability,Tekes,,Article,Final,,Scopus,2-s2.0-80054019926
Takeo K.; Kosuge K.; Shibanuma K.; Oka K.,"Takeo, Koji (35498720500); Kosuge, Kazuhiro (55821756500); Shibanuma, Kiyoshi (35374210800); Oka, Kiyoshi (7201489810)",35498720500; 55821756500; 35374210800; 7201489810,Force control of remote maintenance robot for the ITER,IECON Proceedings (Industrial Electronics Conference),3,,,450,455,5,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035695341&partnerID=40&md5=18c0fd306862a815cbf62f9404948c69,"Tohoku University, Graduate School of Engineering, Sendai 980-8579, Aoba 01, Aramaki, Aoba-ku, Japan","Takeo K., Tohoku University, Graduate School of Engineering, Sendai 980-8579, Aoba 01, Aramaki, Aoba-ku, Japan; Kosuge K., Tohoku University, Graduate School of Engineering, Sendai 980-8579, Aoba 01, Aramaki, Aoba-ku, Japan; Shibanuma K., Tohoku University, Graduate School of Engineering, Sendai 980-8579, Aoba 01, Aramaki, Aoba-ku, Japan; Oka K., Tohoku University, Graduate School of Engineering, Sendai 980-8579, Aoba 01, Aramaki, Aoba-ku, Japan","This paper proposes a force control scheme of remote maintenance robot for the nuclear fusion reactor. In the International Thermonuclear Experimental Reactor (ITER), remote maintenance system which can perform assembly of heavy object in high positioning accuracy is required. For this kind of task, force control is much preferable to position control. We applied force control to experimental blanket handling system and performed several experiments of assembly of dummy blanket. The experimental results illustrate the validity of the force control for the task.",HARD,ITER,IN-VESSEL,2001,,Algorithms; Assembly; Breeding blankets; End effectors; Fusion reactors; Maintenance; Manipulators; Mobile robots; Robotic arms; International thermonuclear experimental reactor; Remote maintenance robots; Force control,,,Conference paper,Final,,Scopus,2-s2.0-0035695341
Iglesias D.; Bastow R.; Cooper D.; Crowe R.; Middleton-Gear D.; Sibois R.; Carloni D.; Vizvary Z.; Crofts O.; Harman J.; Loving A.,"Iglesias, Daniel (26021882400); Bastow, Roger (53979319700); Cooper, Dave (56060720600); Crowe, Robert (55617211400); Middleton-Gear, Dave (56725796600); Sibois, Romain (35115479100); Carloni, Dario (55350909800); Vizvary, Zsolt (6506420720); Crofts, Oliver (55450089300); Harman, Jon (55616970200); Loving, Antony (6602592140)",26021882400; 53979319700; 56060720600; 55617211400; 56725796600; 35115479100; 55350909800; 6506420720; 55450089300; 55616970200; 6602592140,Remote handling assessment of attachment concepts for DEMO blanket segments,Fusion Engineering and Design,98-99,,,1500,1504,4,4,10.1016/j.fusengdes.2015.06.176,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942552480&doi=10.1016%2fj.fusengdes.2015.06.176&partnerID=40&md5=1c8e37a05a6075b16c7e6b686ed2ab62,"CCFE, Culham Science Centre, Abingdon, Oxon, OX14 3DB, United Kingdom; VTT, Technical Research Centre of Finland, Industrial Systems, ROViR, Tampere, Finland; Institute of Neutron Physics and Reactor Technology, Karlsruhe Institute of Technology (KIT), Germany; EFDA Close Support Unit Garching, Boltzmannstaße 2, Garching bei München, D-85748, Germany","Iglesias D., CCFE, Culham Science Centre, Abingdon, Oxon, OX14 3DB, United Kingdom; Bastow R., CCFE, Culham Science Centre, Abingdon, Oxon, OX14 3DB, United Kingdom; Cooper D., CCFE, Culham Science Centre, Abingdon, Oxon, OX14 3DB, United Kingdom; Crowe R., CCFE, Culham Science Centre, Abingdon, Oxon, OX14 3DB, United Kingdom; Middleton-Gear D., CCFE, Culham Science Centre, Abingdon, Oxon, OX14 3DB, United Kingdom; Sibois R., VTT, Technical Research Centre of Finland, Industrial Systems, ROViR, Tampere, Finland; Carloni D., Institute of Neutron Physics and Reactor Technology, Karlsruhe Institute of Technology (KIT), Germany; Vizvary Z., CCFE, Culham Science Centre, Abingdon, Oxon, OX14 3DB, United Kingdom; Crofts O., CCFE, Culham Science Centre, Abingdon, Oxon, OX14 3DB, United Kingdom; Harman J., EFDA Close Support Unit Garching, Boltzmannstaße 2, Garching bei München, D-85748, Germany; Loving A., CCFE, Culham Science Centre, Abingdon, Oxon, OX14 3DB, United Kingdom","The replacement strategy of the massive Multi-Module Blanket Segments (MMS) is a key driver in the design of several DEMO systems. These include the blankets themselves, the vacuum vessel (VV) and its ports and the Remote Maintenance System (RMS). Common challenges to any blanket attachment system have been identified, such as the need for applying a preload to the MMS manifold, the effects of the decay heat and several uncertainties related to permanent deformations when removing the blanket segments after service. The WP12 kinematics of the MMS in-vessel transportation was adapted to the requirements of each of the supports during 2013 and 2014 design activities. The RM equipment envisaged for handling attachments and earth connections may be composed of up to three different assemblies. An In-Vessel Mover at the divertor level handles the lower support and earth bonding, and could stabilize the MMS during transportation. A Shield Plug crane with a 6 DoF manipulator operates the upper attachment and earth straps. And a Vertical Maintenance Crane is responsible for the in-vessel MMS transportation and can handle the removable upper support pins. A final proposal is presented which can potentially reduce the number of required systems, at the same time that speeds-up the RMS global operations. © 2015 Published by Elsevier B.V. All rights reserved.",SYS HARD,DEMO,BLANKET,2015,Attachments; Blanket segments; DEMO; Remote handling,Cranes; Remote control; 6 DOF manipulator; Attachments; Blanket segments; DEMO; Permanent deformations; Remote handling; Remote maintenance system; Replacement strategy; Materials handling,"EURATOM/CCFE; Research Councils UK, RCUK, (EP/I501045)",Elsevier Ltd,Article,Final,,Scopus,2-s2.0-84942552480
Takeda N.; Kakudate S.; Matsumoto Y.; Kozaka H.; Aburadani A.; Negishi Y.; Nakahira M.; Tesini A.,"Takeda, Nobukazu (56549454000); Kakudate, Satoshi (56047592600); Matsumoto, Yasuhiro (25634420800); Kozaka, Hiroshi (6506693252); Aburadani, Atsushi (34881565100); Negishi, Yusuke (37261792300); Nakahira, Masataka (55636346900); Tesini, Alessandro (56019625000)",56549454000; 56047592600; 25634420800; 6506693252; 34881565100; 37261792300; 55636346900; 56019625000,R&D on major components of control system for ITER blanket maintenance equipment,Fusion Engineering and Design,85,7-9,,1190,1195,5,3,10.1016/j.fusengdes.2010.02.037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955480807&doi=10.1016%2fj.fusengdes.2010.02.037&partnerID=40&md5=127919decfdf22bf4e99be1ffdda5e24,"ITER Tokamak Device Group, ITER Project Unit, Fusion Research and Development Directorate, Japan Atomic Energy Agency, Naka, Ibaraki 311-0193, Mukouyama 801-1, Japan; ITER International Fusion Energy Organization, 13108 St. Paul Lez Durance, France","Takeda N., ITER Tokamak Device Group, ITER Project Unit, Fusion Research and Development Directorate, Japan Atomic Energy Agency, Naka, Ibaraki 311-0193, Mukouyama 801-1, Japan; Kakudate S., ITER Tokamak Device Group, ITER Project Unit, Fusion Research and Development Directorate, Japan Atomic Energy Agency, Naka, Ibaraki 311-0193, Mukouyama 801-1, Japan; Matsumoto Y., ITER Tokamak Device Group, ITER Project Unit, Fusion Research and Development Directorate, Japan Atomic Energy Agency, Naka, Ibaraki 311-0193, Mukouyama 801-1, Japan; Kozaka H., ITER Tokamak Device Group, ITER Project Unit, Fusion Research and Development Directorate, Japan Atomic Energy Agency, Naka, Ibaraki 311-0193, Mukouyama 801-1, Japan; Aburadani A., ITER Tokamak Device Group, ITER Project Unit, Fusion Research and Development Directorate, Japan Atomic Energy Agency, Naka, Ibaraki 311-0193, Mukouyama 801-1, Japan; Negishi Y., ITER Tokamak Device Group, ITER Project Unit, Fusion Research and Development Directorate, Japan Atomic Energy Agency, Naka, Ibaraki 311-0193, Mukouyama 801-1, Japan; Nakahira M., ITER International Fusion Energy Organization, 13108 St. Paul Lez Durance, France; Tesini A., ITER International Fusion Energy Organization, 13108 St. Paul Lez Durance, France","Several R&Ds for the ITER blanket remote handling system had been performed from the Engineering Design Activity phase until now and only several technical issues regarding the control system remained such as noise caused by slip ring, control of cable handling system, signal transmission through very long cable and radiation-hard amplifier. This study concentrates on these issues. Effect of the noise caused by the slip ring has been estimated and it was confirmed that its effect is negligible. Detailed test plan for the control of cable handling system has been shown also. Regarding the signal transmission, it was confirmed that the 500-m distance transmission for the resolver is feasible with signal compensation by the voltage feedback circuit. Gamma-ray irradiation tests found that an operational amplifier, HS1-5104ARH-Q, functioned until total dose of 0.5 MGy. It is applicable for the ITER blanket remote handling system. As aconclusion, major issues for the control system have been solved and the ITER blanket remote handling system becomes further feasible. © 2010 Elsevier B.V. All rights reserved.",SOFT,ITER,BLANKET,2010,Blanket; Cable handling; ITER; Long-distance signal transmission; Manipulator; Operational amplifier; Remote maintenance,Cables; Control systems; Gamma rays; Irradiation; Manipulators; Materials handling; Materials handling equipment; Remote control; Blanket; Engineering Design Activities; Gamma-ray irradiation tests; ITER; Remote handling system; Remote maintenance; Signal compensation; Signal transmission; Operational amplifiers,,Elsevier Ltd,Conference paper,Final,,Scopus,2-s2.0-79955480807
Bonnemason J.; Friconneau J.-P.; Maisonnier D.; Perrot Y.,"Bonnemason, Julie (25929894500); Friconneau, Jean-Pierre (6507540227); Maisonnier, David (56627768700); Perrot, Yann (9236210900)",25929894500; 6507540227; 56627768700; 9236210900,Contribution to DEMO reactor RH maintenance assessment,Fusion Engineering and Design,84,2-6,,480,484,4,2,10.1016/j.fusengdes.2008.11.099,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349221178&doi=10.1016%2fj.fusengdes.2008.11.099&partnerID=40&md5=734b95c8ab343bd97a4b6355dc93cae6,"CEA, LIST, Service de Robotique Interactive, FONTENAY AUX ROSES, F-92265, 18 route du Panorama, BP6, France; EFDA, 85748 Garching, Boltzmannstrasse 2, Germany","Bonnemason J., CEA, LIST, Service de Robotique Interactive, FONTENAY AUX ROSES, F-92265, 18 route du Panorama, BP6, France; Friconneau J.-P., CEA, LIST, Service de Robotique Interactive, FONTENAY AUX ROSES, F-92265, 18 route du Panorama, BP6, France; Maisonnier D., EFDA, 85748 Garching, Boltzmannstrasse 2, Germany; Perrot Y., CEA, LIST, Service de Robotique Interactive, FONTENAY AUX ROSES, F-92265, 18 route du Panorama, BP6, France","The scope of this paper is a preliminary assessment of the maintenance scheme in support of the European study for the next generation of fusion reactor: DEMO. Despite other fusion machine requiring remote handling maintenance operations, DEMO is supposed to work under steady state operational conditions. Therefore, requirement on the maintenance scheme is stronger. To target a good availability of the machine along machine operation plan, it is necessary to draw an adequate maintenance scheme. Indeed, due to the high fluxes generated by the plasma in the vacuum vessel, the first wall lifetime is limited, so the frequent replacement is necessary. On current fusion experimental machine, as first wall load conditions are less severe, DEMO condition implies high level of requirement on maintenance time. During DEMO lifetime, several full first wall replacements are expected. To provide access to the vacuum vessel machine for first wall removal, preparatory work is required to set the machine to adequate maintenance conditions and to open the machine properly, the same situation at the end of the maintenance period. Shutdown duration for first wall replacement should be as short as possible to reach the availability target of the machine. From this statement, the maintenance duration should not exceed 20% of the total lifetime of the reactor operation. First wall segmentation (i.e. total number of component to replace) has a high impact onto the replacement time. Considering the number of feasible designs for the first wall segmentation, we concentrate remote handling concept assessments one type of segmentation, the one minimizing the numbers of modules to replace [ITER technical basis; G A0 FDR 1 01-07-13 R1.0, Plant Description Document, Chapter 2.9; Remote handling at http://www.iter.org; ITER Conceptual Design Report, IAEA/ITER/DS/18, IAEA, Vienna, 1991; ITER Final Design Report, G A0 FDR 4 01-06-28 R 0.2, July 2001]. Assumption on Divertor segmentation for these DEMO studies have similarities with Divertor ITER design; therefore ITER design output is relevant [G. Janeschitz, A. Antipenkov, G. Federici, C. Ibbott, A. Kukushkin, P. Ladd, E. Mardin, R. Tivey, Divertor design and its integration into ITER, Nucl. Fusion 42 (2002), pp. 14-20; D. Maisonnier, Fusion Reactor Maintenance: A Proposal for the Power Plant Conceptual Study (PPCS), EFDA CSU Garching, N/R/0824/21/A,0.5.06.2000]. We assume divertor removal performed in shadow time, while removing the other first wall modules. Crown Copyright © 2008.",STRAT,DEMO,BLANKET,2009,DEMO; Maintenance; Remote handling,Availability; Conceptual design; Experimental reactors; Fusion reactors; Information dissemination; Materials handling; Plant shutdowns; Remote control; Vacuum; Conceptual design reports; DEMO; DEMO reactor; Divertor; Divertor design; Feasible design; First wall; Fusion machines; High flux; High impact; ITER design; Load condition; Machine operation; Maintenance assessment; Maintenance operations; Maintenance periods; Maintenance schemes; Maintenance time; Number of components; On currents; Operational conditions; Power plant conceptual studies; Preliminary assessment; Remote handling; Steady state; Vacuum vessel; Maintainability,,,Article,Final,,Scopus,2-s2.0-67349221178
Li I.; Liu Y.; Zang X.,"Li, Iian (57203194025); Liu, Yixiang (56040407800); Zang, Xizhe (13611954300)",57203194025; 56040407800; 13611954300,Human-Machine Interaction Control System of a Remote Maintenance Manipulator for Tokamak,"Proceedings 2018 Chinese Automation Congress, CAC 2018",,,8623475,336,340,4,3,10.1109/CAC.2018.8623475,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062793742&doi=10.1109%2fCAC.2018.8623475&partnerID=40&md5=c4472484e91a20268f4f10a173d4cfa6,"First Research Institute, Ministry of Public Security of PRC, Beijing, 100044, China; State Key Laboratory of Robotics and System, Harbin Institute of Technology, Harbin, 150080, China","Li I., First Research Institute, Ministry of Public Security of PRC, Beijing, 100044, China; Liu Y., State Key Laboratory of Robotics and System, Harbin Institute of Technology, Harbin, 150080, China; Zang X., State Key Laboratory of Robotics and System, Harbin Institute of Technology, Harbin, 150080, China","This paper presents the development of human-machine interaction control system of a remote maintenance manipulator for tokamak utilizing virtual reality. The human-machine interaction control system aims to achieve three major functions as virtual simulation, human-machine interaction, and collision detection. The graphical user interface of the control system is developed with the aid of the software Unity3D. In order to simplify system operations and improve user experience, 3D mouse and somatosensory controllers are adopted to realize scene exploration in the virtual environment and master-slave interaction control of the manipulators. A typical maintenance task is simulated using the human-machine interaction control system. The results indicate that the developed control system can help improve the safety and efficiency of remote maintenance operations significantly. © 2018 IEEE.",SOFT,(none),IN-VESSEL,2018,human-machine interaction; remote maintenance manipulator; tokamak; virtual reality,Control systems; Graphical user interfaces; Maintenance; Mammals; Man machine systems; Virtual reality; Collision detection; Human machine interaction; Interaction controls; Interaction detection; Remote maintenance; Remote maintenance manipulator; Systems operation; Tokamak; Unity3d; Virtual simulations; Manipulators,"National Key Research and Development Program of China, NKRDPC, (2017YFC0806501, 2017YFC0806501, 2017YFC0806501, 2017YFC0806501); National Key Research and Development Program of China, NKRDPC, (2017YFC0806501, 2017YFC0806501, 2017YFC0806501, 2017YFC0806501)",Institute of Electrical and Electronics Engineers Inc.,Conference paper,Final,,Scopus,2-s2.0-85062793742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
